	Employer	JobID	KeywordCount	KeywordList	Location	Relocate	RemoteWork	Title	TitleDetails	TitleFeatures	dataScienceJob
330	Carbonite	87825	5	['python', 'c#', '.net', 'asp.net', 'asp.net mvc']	Boston, MA	no	no	Senior Software Engineer		['engineer', 'senior', 'software']	yes
331	Amazon	87499	3	['c++', 'java', 'c#']	Irvine, CA	yes	yes	Lead Software Engineer	Double Helix Games	['engineer', 'lead', 'software']	yes
332	Quantcast	86179	0	[]	London, UK	no	no	Senior Modeling Manager	Personalized Retargeting	['manager', 'senior']	yes
333	trivago	80975	3	['computer', 'sciene', 'mysql']	Dsseldorf, Deutschland	no	no	Software Engineer	Hotel Data Management	['data', 'engineer', 'software']	yes
334	Semantico_Limited	88231	1	['sysadmin']	Brighton, UK	no	no	Linux Systems Administrator		['administrator', 'linux']	yes
335	Sauce_Labs	77801	6	['system', 'infrastructure', 'hardware', 'linux', 'osi', 'sysadmin']	San Francisco, CA	yes	no	Junior Systems Engineer	Operations	['engineer', 'junior', 'operations']	yes
336	Digipost	86457	5	['java', 'rest', 'open source', 'postgresql', 'microservices']	Oslo, Norway	no	no	Senior Java full-stack utvikler		['full_stack', 'java', 'senior']	yes
337	RevGuard	82062	5	['php', 'mysql', 'html5', 'css3', 'angularjs']	Boulder, CO	no	no	Full Stack Developer		['development', 'full_stack']	yes
338	Syncreon_Nederland	88037	5	['it', 'management', 'solutions', 'software', 'development']	Tilburg, Netherlands	no	no	Enterprise Integrations Analyst		['analyst', 'enterprise']	yes
339	Optiver	82353	5	['c++', 'stl', 'multithreading', 'linux', 'hpc']	Amsterdam, Netherlands	yes	no	C++ Software Engineer		['engineer', 'software']	yes
340	Optiver	82359	5	['c#', 'python', 'linux', 'multithreading', 'hpc']	Amsterdam, Netherlands	yes	no	Senior Developer	C#, Python	['development', 'senior']	yes
341	Buildium	86312	4	['angularjs', 'ember.js', 'reactjs', 'javascript']	Boston, MA	no	no	Front End Developer		['development', 'front_end']	yes
342	Wikimedia_Foundation	75868	0	[]	San Francisco, CA	no	yes	Senior Software Engineer | Services		['engineer', 'senior', 'software', 'web_services']	yes
343	Wikimedia_Foundation	83096	0	[]	San Francisco, CA	no	no	Product Manager	Readership	['manager', 'product']	yes
344	campoint	86246	5	['java', 'scala', 'jenkins', 'selenium', 'testing']	Seligenstadt, Germany	no	no	Software-Engineer	m/w (Testing	['engineer', 'software']	yes
345	Xoom	88255	5	['linux', 'bash', 'scripting', 'sysadmin', 'unix']	San Francisco, CA	yes	no	Security Engineer		['engineer', 'security']	yes
346	Wikimedia_Foundation	83969	3	['javascript', 'hive', 'hadoop']	San Francisco, CA	no	yes	Data Analyst	Search & Discovery	['data_analysis', 'search']	yes
347	campoint	86247	5	['java', 'scala', 'sql', 'hibernate', 'jpa']	Seligenstadt, Deutschland	no	no	Senior Java/Scala Developer	m/w	['development', 'java', 'scala', 'senior']	yes
348	Wikimedia_Foundation	82523	0	[]	San Francisco, CA	no	yes	Software Engineer | Search		['engineer', 'search', 'software']	yes
349	Noom	86538	5	['python', 'c++', 'android', 'ios', 'java']	New York, NY	yes	no	Software Engineer		['engineer', 'software']	yes
350	ESR_Labs	87934	5	['c++', 'device driver', 'embedded', 'powerpc', '32 bit']	Munich, Germany	no	no	Embedded Software Developer	f/m Focus Lowlevel Programming	['development', 'embedded', 'software']	yes
351	Broadway_Technology	75792	3	['c++', 'distributed system', 'multithreading']	New York, NY	yes	no	Senior C++ Software Engineer		['engineer', 'senior', 'software']	yes
352	SofterWare	84378	6	['appcelerator mobile', 'android', 'ios', 'c#', 'asp.net mvc', 'sysadmin']	Horsham, PA	no	no	Mobile Application Developer		['development']	yes
353	IPRO	87966	4	['linux', 'php', 'mysql', 'apache']	New Hyde Park, NY	no	no	Assistant Systems Admin.		[]	yes
354	plista	87549	5	['javascript', 'php', 'selenium', 'http', 'css3']	Berlin, Deutschland	no	no	Core Developer JavaScript + PHP	m/f	['development', 'javascript', 'php']	yes
355	Tobii_AB	86497	5	['c#', 'agile', 'c++', 'computer science', 'tdd']	Danderyd, Sverige	no	no	C# Framework Developer		['development']	yes
356	HBO	78904	5	['java', 'java ee', 'jbpm', 'python', 'transcoding']	Hauppauge, NY	no	no	HBO Senior Software Engineer		['engineer', 'senior', 'software']	yes
357	HBO	77519	5	['java', 'java ee', 'c++', 'rest', 'python']	Hauppauge, NY	no	no	HBO Senior Software Engineer		['engineer', 'senior', 'software']	yes
358	DoosanBobcat	85747	3	['java', 'hybris', 'e commerce']	West Fargo, ND	yes	no	Ecommerce Applications Architect		['architect']	yes
359	Tobii_AB	86498	5	['c#', 'c++', 'tdd', 'solid principles', 'agile']	Danderyd, Sverige	no	no	The Ultimate Gamer to work with C# Development		['development']	yes
360	Combination	87777	4	['c#', '.net', 'game engine', 'scrum']	Gothenburg, Sweden	no	no	JUNIOR PERFEKTIONIST SOM VILL ARBETA MED C#-UTVECKLING HOS SPELBOLAGET COMBINATI		['junior']	yes
361	Informaticon	84998	2	['powerbuilder', 'java']	Zrich, Schweiz	no	no	Softwareentwickler fr die Baustoffindustrie	m/w	['development', 'software']	yes
362	Trustly_AB	87540	3	['html5', 'css3', 'javascript']	Stockholm, Sverige	no	no	Frontend Developer to Trustly!		['development', 'front_end']	yes
363	Axel_Springer_Schweiz	84347	5	['php', 'w3c', 'servlets', 'angularjs', 'apache']	Zrich, Schweiz	no	no	Web Developer	100%	['development', 'web']	yes
364	Ticketscript	87129	5	['amazon web services', 'chef', 'bamboo', 'jira', 'vagrant']	Amsterdam, Netherlands	no	no	DevOps Engineer		['development', 'engineer', 'operations']	yes
365	Eurofins	88133	2	['development environment', 'lead']	Barneveld, Nederland	no	no	Lead Developer		['development', 'lead']	yes
366	CLARITY_SOLUTION_GROUP	80660	5	['python', 'etl', 'sql', 'hadoop', 'hive']	San Francisco, CA	no	yes	Big Data Engineer with National Travel		['data', 'engineer']	yes
367	Tailor_Brands	86956	5	['ruby on rails', 'ember.js', 'sass', 'ruby', 'postgresql']	New York, NY	no	no	Fullstack Software Engineer		['engineer', 'full_stack', 'software']	yes
368	Analytics_Media_Group	86937	5	['devops', 'chef', 'continuous deployment', 'infrastructure', 'sysadmin']	New York, NY	no	no	DevOps Engineer		['development', 'engineer', 'operations']	yes
369	Entelo	83532	5	['scala', 'mongodb', 'java', 'distributed computing', 'data mining']	San Francisco, CA	no	no	Sr. Backend Engineer/Architect		['architect', 'back_end', 'engineer', 'senior']	yes
370	CA_Customer_Alliance	85559	5	['symfony2', 'javascript', 'html', 'scss', 'linux']	Berlin, Deutschland	no	no	Software Developer m/f Symfonie2		['development', 'software']	yes
371	TD_Ameritrade	77172	5	['java', 'multithreading', 'unix', 'linux', 'java ee']	Ann Arbor, MI	no	no	Senior Software Engineer / Senior Java Developer		['development', 'engineer', 'java', 'senior', 'software']	yes
372	Funtomic	44351	5	['ruby on rails', 'javascript', 'mysql', 'jquery', 'backbone.js']	Ramat Gan, Israel	no	no	Full Stack Web Developer		['development', 'full_stack', 'web']	yes
373	Funtomic	84854	5	['ruby on rails', 'javascript', 'jquery', 'backbone.js', 'mysql']	Ramat Gan, Israel	no	no	Full Stack Web Developer		['development', 'full_stack', 'web']	yes
374	The_American_Law_Institute	86446	5	['coldfusion', 'html', 'css', 'javascrpt', 'ajax']	Philadelphia, PA	no	no	Front End Web Developer		['development', 'front_end', 'web']	yes
375	KnowRoaming	79232	5	['java', 'javascript', 'php', 'sql', 'tomcat']	Toronto, ON, Kanada	no	no	Web Developer	Web Services and Infrastructure	['development', 'infrastructure', 'web', 'web_services']	yes
376	GIZMO_Creative	72045	5	['php', 'mysql', 'oop', 'rest', 'javascript']	Carmel Valley, CA	no	yes	OOP PHP Application Developer		['development', 'php']	yes
377	CareerBuilder	82820	5	['ruby', 'javascript', 'software engineering', 'open source', 'angularjs']	Chicago, IL	no	no	Knowledge Addicted	Full Stack Web Developer	['development', 'full_stack', 'web']	yes
378	CareerBuilder	82839	5	['ruby', 'javascript', 'leadership', 'open source', 'architecture']	Chicago, IL	no	no	Software Engineering Lead		['engineer', 'lead', 'software']	yes
379	CareerBuilder	82838	5	['ruby', 'javascript', 'leadership', 'open source', 'architecture']	Norcross, GA	no	no	Software Engineering Lead		['engineer', 'lead', 'software']	yes
380	Lupus_alpha_Business_Solutions	86116	5	['asp.net', 'oracle', 'sql', 'c#', 'wpf']	Frankfurt am Main, Deutschland	no	no	Junior Softwareentwickler	w/m C# / SQL	['development', 'junior', 'software', 'sql']	yes
381	TomTom	85964	1	['matlab']	London, UK	yes	no	Sensor mathematician	Matlab	[]	yes
382	Politie	85995	3	['computer forensics', 'sources', 'digital']	Breda, Netherlands	no	no	digitaal specialist	medior forensische data analyse	['data_analysis']	yes
383	The_British_Museum	87810	5	['interface', 'sql', 'asp.net', 'c#', '.net 3.5']	London, UK	no	no	Analyst Programmer: Support		['analyst', 'programmer']	yes
384	Politie	85998	0	[]	Utrecht, Netherlands	no	no	digitaal specialist	junior infrastructuur	[]	yes
385	Richie	87314	5	['ios', 'android', 'django', 'node.js', 'c']	Finland	no	yes	Senior Software Engineer		['engineer', 'senior', 'software']	yes
386	TomTom	87339	5	['calabash', 'robotium', 'bash', 'android', 'ios']	Amsterdam, Nederland	no	no	Test Engineer Mobile Apps		['application', 'engineer', 'test']	yes
387	TomTom	87316	4	['android', 'alsa', 'audioflinger', 'hal']	Amsterdam, Nederland	no	no	Android Audio Embedded Engineer		['android', 'embedded', 'engineer']	yes
388	MidwayUSA	86382	5	['c#', '.net', 'visual', 'studio.net', 'business']	Columbia, MO	no	no	Application Developer		['development']	yes
389	Paylocity	24311	5	['asp.net', 'c#', 'mvc', 'sql', 'entity framework']	Chicago, IL	yes	yes	ASP.NET MVC C# Software Developer 'Best Medium-sized Companies To Work For	2014' Glassdoor	['development', 'software']	yes
390	Gelato_Group	86525	0	[]	Stockholm, Sweden	no	no	NORWEGIAN TECHNOLOGY COMPANY SEARCHING FOR TALENTS		['technology']	yes
391	HealthWarehousecom	87993	5	['ruby', 'python', 'mysql', 'javascript', 'web services']	Las Vegas, NV	yes	no	Full Stack Web Developer		['development', 'full_stack', 'web']	yes
392	MidwayUSA	86618	5	['c#', 'ms', 'visual', 'studio', 'asp.net']	Columbia, MO	no	no	Web Application Developer		['development', 'web']	yes
393	IDEO	85722	4	['css', 'html', 'node.js', 'ruby on rails']	San Francisco, CA	no	no	Lead Web Developer		['development', 'lead', 'web']	yes
394	Holidaypirates	86531	5	['ios', 'android', 'gradle', 'rest', 'json']	Berlin, Germany	yes	no	Native iOS/Android Application Developer	f/m	['android', 'development', 'ios']	yes
395	Fox_Networks_Group	88342	0	[]	Los Angeles, CA	no	no	Systems Architect		['architect']	yes
396	Surge	15018	5	['javascript', 'php', 'java', 'spring', '.net']	Seattle, WA	no	yes	Hiring Senior Software Engineers		['engineer', 'senior', 'software']	yes
397	Kreditech_Holding_SSL	78735	5	['scala', 'python', 'javascript', 'excel', 'sql']	Hamburg, Germany	no	no	Consultant to CTO	m/f | Hamburg	[]	yes
398	INRIX	88368	0	[]	Kirkland, WA	no	no	VP of Quality		['quality']	yes
399	INRIX	88378	0	[]	Kirkland, WA	no	no	Head Of Engineering		['engineer', 'head']	yes
400	RELEX_Solutions	85875	5	['javascript', 'json', 'ruby', 'rest', 'user interface']	Helsinki, Finland	no	no	Front End Developer		['development', 'front_end']	yes
401	GoConqr	87240	5	['ios', 'javascript', 'ruby on rails', 'core data', 'restkit']	Belfast, UK	yes	no	iOS Developers		['development', 'ios']	yes
402	INRIX	85647	0	[]	Kirkland, WA	no	no	DevOps Engineer		['development', 'engineer', 'operations']	yes
403	INRIX	67546	5	['java', 'c#', 'bigdata', 'distributed system', 'location based service']	Kirkland, WA	no	no	Dev Lead	Connected Services	['development', 'lead', 'web_services']	yes
404	We_Are_Base	86893	2	['android', 'java']	Bournemouth, UK	yes	no	Android Engineer		['android', 'engineer']	yes
405	Kreditech_Holding_SSL	88128	5	['ruby on rails', 'devops', 'puppet', 'python', 'linux']	Hamburg, Germany	no	no	Ruby	RoR DevOps Administrator (m/f | Hamburg	['administrator', 'development', 'operations', 'ruby']	yes
406	Paf	86488	3	['java', 'javascript', 'java ee']	Helsinki, Suomi	no	no	Senior Java Developer		['development', 'java', 'senior']	yes
407	Digital_Measures	86576	5	['java', 'spring', 'javascript', 'agile', 'tdd']	Milwaukee, WI	no	no	Software Engineer		['engineer', 'software']	yes
408	HERE	86548	5	['c++', 'c++11', 'continuous integration', 'tdd', 'stl']	Berlin, Germany	yes	no	Senior C++ Engineer		['engineer', 'senior']	yes
409	HERE	88324	5	['ruby', 'javascript', 'amazon web services', 'jenkins', 'ruby on rails']	Berlin, Germany	yes	no	Senior Software Engineer	Full-stack, Ruby, JavaScript	['engineer', 'full_stack', 'javascript', 'ruby', 'senior', 'software']	yes
410	HERE	88024	5	['java', 'c++', 'go', 'mercurial', 'git']	Berlin, Germany	yes	no	Lead Engineer		['engineer', 'lead']	yes
411	HERE	88309	5	['gerrit', 'git', 'java', 'c++', 'go']	Berlin, Germany	yes	no	Lead Engineer		['engineer', 'lead']	yes
412	HERE	86539	5	['android', 'ios', 'java', 'c++', 'javascript']	Berlin, Germany	yes	no	Senior / Lead Software Engineer, Mobile Apps and SDKs	Android, iOS, Tizen	['application', 'engineer', 'ios', 'lead', 'senior', 'software']	yes
413	Inria	85791	0	[]	Le Chesnay, France	no	no	Administrateur Systmes et Rseaux		['administrator']	yes
414	bbv_Software_Services	84669	5	['java ee', 'clean code', 'tdd', 'sql', 'agile']	Zrich, Schweiz	no	no	JAVA SOFTWARE-INGENIEUR	M/W	['engineer', 'java', 'software']	yes
415	SBB	88292	0	[]	Bern, Schweiz	no	no	Business Analyst/in	80 - 100%	['analyst']	yes
416	sociomantic_labs	86564	5	['javascript', 'uml', 'api', 'egmascript', 'oop']	Berlin, Deutschland	no	no	Javascript Developer	All Levels!	['development', 'javascript']	yes
417	42reports	81433	3	['javascript', 'frontend', 'angularjs']	Berlin, Germany	no	no	Javascript/Frontend Developer		['development', 'front_end', 'javascript']	yes
418	OnCourse_Systems	70894	5	['angularjs', 'javascript', 'jquery', 'twitter bootstrap', 'git']	Philadelphia, PA	no	no	JavaScript Application Developer		['development', 'javascript']	yes
419	42reports	78815	4	['python', 'devops', 'infrastructure', 'amazon web services']	Berlin, Germany	no	no	Python Infrastructure Developer		['development', 'infrastructure', 'python']	yes
420	Code42_Software	84752	5	['cloud', 'storage', 'c', 'unix', 'linux']	Minneapolis, MN	no	no	Cloud Engineer		['cloud', 'engineer']	yes
421	Bookingcom	57225	4	['web', 'perl', 'c', 'c++']	Amsterdam, Netherlands	yes	no	Team Lead	Software Development	['development', 'lead', 'software']	yes
422	Bookingcom	79910	3	['e commerce', 'backend', 'perl']	Amsterdam, Netherlands	yes	no	Product Owner  Back End		['back_end', 'product']	yes
423	Fyber	81260	5	['lead', 'ruby', 'web', 'apache', 'kafka']	Berlin, Germany	no	no	Lead Ruby Developer		['development', 'lead', 'ruby']	yes
424	Fyber	88131	4	['qa', 'mobile', 'ruby', '4930609855567']	Berlin, Germany	yes	no	Quality Assurance Lead		['lead', 'quality']	yes
425	PolicyStat	87850	5	['python', 'django', 'amazon web services', 'javascript', 'reactjs']	Carmel, IN	yes	yes	Healthcare-improving Python/Django Engineer		['engineer', 'python']	yes
426	Ralph_Lauren_Corporation	87237	5	['html', 'xml', 'css', 'javascript', 'jquery']	New York, NY	no	no	Full Stack Developer	Ralph Lauren Digital	['development', 'full_stack']	yes
427	Fyber	88129	3	['product', 'ios', 'android']	Berlin, Germany	yes	no	Product Owner	Demad Partner Solutions	['product']	yes
428	Fyber	82093	5	['scala', 'mysql', 'ios', 'android', 'mobile']	Berlin, Germany	yes	no	Principal Test Architect		['architect', 'principal', 'test']	yes
429	ReviewPro	88046	5	['java', 'spring mvc', 'javascript', 'elasticsearch', 'mongodb']	Barcelona, Spain	no	no	Full-stack engineer		['engineer', 'full_stack']	yes
430	Textkernel	51803	5	['python', 'scalability', 'architecture', 'machine learning', 'big data']	Amsterdam, Netherlands	yes	no	Software Engineer: Web Data Processing /  Storage / Analysis		['data', 'engineer', 'software', 'web']	yes
431	Amazon	88127	3	['python', 'ruby', 'linux']	Dublin, Ireland	yes	no	Senior Systems Engineer	AWS Network Monitoring	['engineer', 'network', 'senior']	yes
432	City_and_County_of_San_Francisco	88177	0	[]	San Francisco, CA	no	no	IS Programmer Analyst	Senior, Front End Developer	['analyst', 'development', 'front_end', 'programmer', 'senior']	yes
433	Proofpoint	87214	5	['linux', 'redhat', 'centos', 'production', 'scalability']	Belfast, UK	yes	no	Senior Linux Administrator/Architect		['administrator', 'architect', 'linux', 'senior']	yes
434	Splitwise	75846	1	['android']	Providence, RI	yes	no	Android Developer + Great Culture and Benefits		['android', 'development']	yes
435	trivago	80043	5	['agile', 'coach', 'jobs', 'scrum', 'software']	Dsseldorf, Deutschland	no	no	Agile Coach / Scrum Master		[]	yes
436	Amazon	87928	3	['chef', 'puppet', 'bash']	Dublin, Ireland	yes	no	Deployment Support Engineer	Amazon Web Services	['engineer', 'web', 'web_services']	yes
437	Splitwise	81162	5	['ruby on rails', 'mysql', 'rest', 'amazon web services', 'heroku']	Providence, RI	yes	no	Senior Ruby-on-Rails Engineer	Back-end	['engineer', 'ruby', 'senior']	yes
438	Deutscher_GenossenschaftsVerlag_eG	88135	5	['html', 'css', 'mysql', 'ddl', 'jquery']	Wiesbaden, Deutschland	no	no	Junior Softwareentwickler	m/w	['development', 'junior', 'software']	yes
439	Deutscher_GenossenschaftsVerlag_eG	88136	5	['mysql', 'html', 'css', 'jquery', 'spring']	Wiesbaden, Deutschland	no	no	Senior Softwareentwickler	m/w	['development', 'senior', 'software']	yes
440	Ray_Sono	87767	2	['ios', 'android']	Mnchen, Deutschland	no	no	Mobile Entwickler	m/w	['development']	yes
441	Lindenbaum	87434	4	['linux', 'vmware', 'vlan', 'sysadmin']	Karlsruhe, Deutschland	no	no	Linux-Systemadministrator	m/w	['linux', 'operations']	yes
442	Earbits	84154	2	['scala', 'java']	Santa Monica, CA	yes	no	Senior Mobile Developer For A Well Funded Y Combinator Music Startup		['development', 'senior', 'startup']	yes
443	Udemy	87279	5	['puppet', 'sql', 'nginx', 'apache', 'python']	Dublin, Ireland	no	no	Operations Engineer	DevOps	['development', 'engineer', 'operations']	yes
444	Udemy	87280	5	['python', 'django', 'angular', 'sql', 'rest']	Dublin, Ireland	no	no	Sr. Software Engineer	Full Stack Web Application Development	['development', 'engineer', 'full_stack', 'senior', 'software', 'web']	yes
445	Dassault_Systemes_3DExcite	88003	5	['c++', 'user interface', 'oopood', 'qt', 'design patterns']	Mnchen, Deutschland	no	no	Frontend Developer	m/f  C++/Qt	['development', 'front_end']	yes
446	Dassault_Systemes_3DExcite	88004	2	['windows', 'linux']	Mnchen, Deutschland	no	no	Quality Assurance Engineer	m/f - Rendering & Cloud Computing	['cloud', 'engineer', 'quality']	yes
447	Dassault_Systemes_3DExcite	88001	3	['css', 'html', 'javascript']	Mnchen, Deutschland	no	no	Senior Front-End Developer	m/f	['development', 'front_end', 'senior']	yes
448	LLS_Internet	73982	5	['symfony2', 'mysql', 'php', 'silex', 'doctrine2']	Berlin, Deutschland	no	no	Senior PHP Backend Developer	m/f	['back_end', 'development', 'php', 'senior']	yes
449	Dassault_Systemes_3DExcite	88002	3	['3d', 'visualization', 'redering']	Mnchen, Deutschland	no	no	3D Expert / Agile Product Owner	m/f	['product']	yes
450	GoHiring	87012	2	['ruby', 'ruby on rails']	Berlin, Deutschland	no	yes	Senior Ruby Developer	Berlin or remote	['development', 'ruby', 'senior']	yes
451	Drooms	49503	5	['ruby on rails', 'http', 'rest', 'redis', 'rabbitmq']	Frankfurt am Main, Deutschland	no	no	Senior Ruby on Rails Developer	f/m	['development', 'ruby', 'senior']	yes
452	Drooms	75052	5	['angularjs', 'html5', 'jquery', 'css3', 'node.js']	Frankfurt am Main, Deutschland	no	no	Senior Front-End-Developer / Angular JS	f/m	['development', 'front_end', 'senior']	yes
453	Yext	34813	5	['java', 'mysql', 'go', 'playframework', 'python']	New York, NY	yes	no	Software Engineer		['engineer', 'software']	yes
454	Amazon	88366	3	['java', 'javascript', 'c#']	Seattle, WA	yes	no	Technical Lead	Cloud Drive Website	['cloud', 'lead', 'technical']	yes
455	Cloud_Technology_Partners	78640	5	['amazon web services', 'sql', 'java', 'amazon ec2', 'amazon elastic beanstalk']	Boston, MA	no	yes	Senior AWS Architect		['architect', 'senior']	yes
456	Research_Square	81051	5	['php', 'mysql', 'elasticsearch', 'zend framework', 'slim']	Durham, NC, Estados Unidos	yes	yes	Software Engineer	PHP	['engineer', 'php', 'software']	yes
457	Boston_Childrens_Hospital	88344	5	['microstrategy', 'rdbms', 'sql', 'oracle', 'sql server']	Boston, MA	no	no	Microstrategy Developer		['development']	yes
458	NuData_Security	78755	5	['php', 'c++', 'nosql', 'bigdata', 'rest']	Vancouver, BC, Canada	no	no	Intermediate to Senior Level Product Developer		['development', 'product', 'senior']	yes
459	OpenGov	83575	2	['ruby on rails', 'node.js']	Redwood City, CA	yes	no	Sr. Software Engineer		['engineer', 'senior', 'software']	yes
460	Varsity_Tutors	86609	3	['ruby on rails', 'jquery', 'git']	St Louis, MO	no	yes	Ruby on Rails Developer	work from home	['development', 'ruby']	yes
461	Sharefaith	87157	5	['jquery', 'html5', 'php', 'java', 'javascript']	Medford, OR	yes	no	[Top Oregon Company] Web & Application Developer		['development', 'web']	yes
462	WIBUSYSTEMS	86547	3	['c', 'c++', 'embedded']	Karlsruhe, Deutschland	no	no	Test- und Software-Ingenieur	m/w Karriere @ Wibu-Systems	['engineer', 'software', 'test']	yes
463	Witherslack_Group	87999	5	['asp.net mvc', 'c#', 'sql server', 'jquery', 'html']	Lupton, UK	no	no	ASP.NET MVC software developer		['development', 'software']	yes
464	WIBUSYSTEMS	86544	3	['c', 'embedded', 'cryptography']	Karlsruhe, Deutschland	no	no	Embedded Software-Entwickler	m/w Karriere @ Wibu-Systems	['development', 'embedded', 'software']	yes
465	WIBUSYSTEMS	86546	5	['java', '.net', 'c', 'c++', 'elf']	Karlsruhe, Deutschland	no	no	Security Software-Entwickler Java	m/w Karriere @ Wibu-Systems	['development', 'java', 'security', 'software']	yes
466	Varsity_Tutors	88054	5	['android', 'java', 'android layout', 'javascript', 'html5']	St Louis, MO	no	yes	Android Developer	work from home	['android', 'development']	yes
467	Amazon	88110	2	['operations', 'python']	Dublin, Ireland	yes	no	Operations Engineering Manager	Edge Services	['engineer', 'manager', 'operations', 'web_services']	yes
468	AdAgility	87994	5	['scala', 'functional programming', 'amazon web services', 'ansible', 'java']	Waltham, MA	no	no	Senior Software Engineer	Functional Programming/Scala	['engineer', 'senior', 'software']	yes
469	Blackboard	88246	5	['fedramp', 'pci', 'rest', 'java', 'security']	Washington, DC	no	no	Security Engineer		['engineer', 'security']	yes
470	Circle_Internet_Financial	83546	5	['amazon web services', 'continuous deployment', 'javascript', 'scripting', 'sysadmin']	Boston, MA	no	no	DevOps Engineer		['development', 'engineer', 'operations']	yes
471	Tobii_AB	85991	5	['c++', 'c', 'android', 'user experience', 'java']	Danderyd, Sverige	no	no	Android developer	be part of the eye tracking revolution	['android', 'development']	yes
472	Zhlke_Engineering	86137	5	['html5', 'css', 'javascript', 'ios', 'android']	Hannover, Deutschland	no	no	Java Software Entwickler	w/m HTML5 / CSS	['development', 'java', 'software']	yes
473	EMBLEBI	86366	0	[]	Saffron Walden, UK	no	no	Software Engineer		['engineer', 'software']	yes
474	Domeyard	83870	5	['c', 'c++', 'linux', 'performance', 'algorithm']	Boston, MA	no	no	Software Engineer	High-Frequency Trading Startup in Boston	['engineer', 'software', 'startup']	yes
475	Textkernel	88296	5	['java', 'software engineering', 'rest', 'soap', 'social networking']	Amsterdam, Netherlands	yes	no	Software Engineer API Integration	Java	['api', 'engineer', 'software']	yes
476	PlanGrid	48070	5	['android', 'mobile', 'android layout', 'android applicationinfo', 'mobile application']	San Francisco, CA	yes	no	Own an	android app that's transforming construction!	['application']	yes
477	PlanGrid	51387	2	['ios', 'objective c']	San Francisco, CA	yes	no	Own the iOS app that's transforming construction		['application', 'ios']	yes
478	Domeyard	83828	6	['c', 'linux', 'unix', 'networking', 'postgresql', 'sysadmin']	Boston, MA	no	no	Systems Administrator / Sysadmin	High-Frequency Trading Startup in Boston	['administrator', 'startup']	yes
479	Textkernel	78507	5	['selenium', 'linux', 'soapui', 'vagrant', 'jenkins']	Amsterdam, Netherlands	no	no	QA Engineer		['engineer']	yes
480	CareEvolution	39897	5	['c#', 'python', 'sql', 'hl7', 'etl']	Ann Arbor, MI	yes	yes	Devs sought for Health Information Exchange	HIE platform vendor	[]	yes
481	Truecaller	82766	5	['java', 'sql', 'mysql', 'java ee', 'dropwizard']	Stockholm, Sweden	yes	no	Senior Java Developer		['development', 'java', 'senior']	yes
482	Truecaller	82772	4	['android', 'java', 'c++', 'android sdk 2.3']	Stockholm, Sweden	yes	no	Senior Android Developer		['android', 'development', 'senior']	yes
483	Trust_International_Reservation_Services	87024	5	['ruby on rails 3', 'javascript', 'cucumber', 'css', 'nosql']	Frankfurt am Main, Deutschland	no	no	Developer Ruby-on-Rails		['development', 'ruby']	yes
484	Cognex_Germany_Aachen	85590	5	['image', 'processing', 'optics', 'plcs', 'c#']	Aachen, Germany	yes	yes	Application Engineer		['engineer']	yes
485	Cognex_Germany_Aachen	85595	2	['wireless', 'certification']	Aachen, Germany	yes	no	Compliance Engineer		['engineer']	yes
486	PayPal	86025	3	['javascript', 'css', 'html']	San Jose, CA	yes	no	Full Stack Application Engineer		['engineer', 'full_stack']	yes
487	PayPal	88260	2	['appsec', 'developer']	San Jose, CA	yes	no	AppSec Engineer		['engineer']	yes
488	Dealogic_Hungary	83770	3	['c#', 'asp.net mvc', 'jquery']	Budapest, Hungary	no	no	Szoftverfejleszt: ASP.NET/C#	webes portl&natv mobil alkalmazs fejleszts	[]	yes
489	Bloomberg	54509	5	['c++', 'relational database', 'unix', 'java', 'bigdata']	New York, NY	yes	no	Senior Big Data / Cloud Architect	Bloomberg Vault	['architect', 'cloud', 'data', 'senior']	yes
490	Playboy_Enterprises	88211	0	[]	Los Angeles, CA	no	no	iOS Engineer		['engineer', 'ios']	yes
491	trivago	84092	5	['hadoop', 'software engineering', 'computer science', 'algorithm', 'data structures']	Dsseldorf, Deutschland	no	no	Software Engineer Team Lead	Hadoop	['engineer', 'hadoop', 'lead', 'software']	yes
492	Global_Poverty_Project	86775	0	[]	New York, NY	no	no	Front End Developer		['development', 'front_end']	yes
493	Hudson_River_Trading	88212	3	['python', 'linux', 'c++']	New York, NY	no	no	Biz Dev Analyst / Programmer		['analyst', 'development', 'programmer']	yes
494	Bloomberg	75850	5	['hadoop', 'nosql', 'c++', 'unix', 'machine learning']	New York, NY	no	no	Senior Software Engineer	Bloomberg Vault Content Ingestion	['engineer', 'senior', 'software']	yes
495	IMS_Health	86961	5	['amazon web services', 'elastic map reduce', 'puppet', 'hadoop', 'cloudformation']	Seattle, WA	no	no	Streaming Data Platform Software Engineer		['data', 'engineer', 'software']	yes
496	Kyruus	86396	2	['python', 'postgresql']	Boston, MA	no	no	Product Quality Architect		['architect', 'product', 'quality']	yes
497	Level_3_Communications	87373	5	['ruby on rales', 'hadoop', 'bigdata', 'cdn', 'cassandra']	Broomfield, CO	no	no	Big Data DevOps Developer		['data', 'development', 'operations']	yes
498	Bloomberg	54508	5	['ruby on rails', 'javascript', 'html', 'css', 'haml']	New York, NY	yes	no	Senior Web Developer	Bloomberg Vault	['development', 'senior', 'web']	yes
